0,1,2,3,4,5
,,"Bachelor of Science (Agribusiness) Bachelor of Science (Agricultural Economics & Resource Management)
Bachelor of Agribusiness Management Bachelor of Science (Agricultural Economics, With IT)
Bachelor of Science (Agribusiness Management) Bachelor of Science (Agribusiness Economics and Food Industry Management)
Bachelor of Science Agribusiness Management Bachelor of Science (Agricultural Economics and Rural Development)
Bachelor of Science (Agricultural Resource Management) Bachelor of Science in Agricultural Economics and Rural Development
Bachelor of Science in Agribusiness Management and Bachelor of Science (Agricultural Economics and Resource Management)
Marketing
Bachelor of Science in Agribusiness Management Bachelor of Science (Agricultural Economics)
Bachelor of Science in Agricultural Resource Economics and Bachelor of Science (Agricultural Economics and Resource Management)
Management
Bachelor of Science Agribusiness Management and Enterprise Bachelor of Science (Agriculture Economics & Resource Management)
Development
Bachelor of Science (Agribusiness Management) Bachelor of Science in Agricultural Economics
Bachelor of Science (Agri Business Management) Bachelor of Science in Agricultural Resource Management
Bachelor of Science (Agribusiness Management & Trade)
Bachelor of Science in Agribusiness Management and Trade
Bachelor of Science (Agribusiness Management, With IT)",,,
9,,"Subject 1
MAT ALTERNATIVE A","Subject 2
any GROUP II","Subject 3
2nd GROUP II","Subject 4
3rd GROUP II or any GROUP III or any GROUP IV
or any GROUP V"
,9A,MAT ALTERNATIVE A - C (PLAIN),BIO/CHE/PHY - C (PLAIN),BIO/PHY/CHE - C (PLAIN),
,,"Bachelor of Science
Bachelor of Science (Basic Science, With IT)
Bachelor of Science (B.sc)
Bsc (Science)",,,
,,MAT ALTERNATIVE A - C (PLAIN),BIO - C+,CHE – C (PLAIN),
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,,,,
,9C,MAT ALTERNATIVE A - C (PLAIN),PHY - C+,,
,,"Bachelor of Science (Physics)
Bachelor of Science in Physics
Bachelor of Science (Physics, With IT)
Bachelor of Technology (Technical and Applied Physics)
Bachelor of Technology in Applied Physics (Electronics & Instrumentation",,,
,9D,MAT ALTERNATIVE A - C (PLAIN),CHE - C+,,
,,"Bachelor of Science (Chemistry)
Bachelor of Science in Chemistry
Bachelor of Science (Environmental Chemistry)",,,
10,,"Subject 1
MAT ALTERNATIVE A","Subject 2
Any GROUP II","Subject 3
Any GROUP III","Subject 4
2nd GROUP II or 2nd GROUP III or a GROUP IV or
any GROUP V"
,10A,MAT ALTERNATIVE A - C+,ENG/KIS - C+,,
,,Bachelor of Science (Accountancy),,,
,10B,MAT ALTERNATIVE A - C+,ENG/KIS - C (PLAIN),,
,,"Bachelor of Economics
Bachelor of Science in Economics
Bachelor of Science in Economics & Statistics
Bachelor of Economics & Statistics
Bachelor of Economics and Statistics
Bachelor of Science (Economics and Statistics)
Bachelor of Science (Economics & Statistics)
Bachelor of Science (Mathematics and Economics)
Bachelor of Science in Mathematics and Economics
Bachelor of Science (Mathematics & Business Studies, With IT)
Bachelor of Economics & Finance
Bachelor of Economics (Economics & Finance, With IT)
Bachelor of Economics and Finance
Bachelor of Science in Finance
Bachelor of Science (Finance)",,"Bachelor of Arts (Economics & Sociology)
Bachelor of Arts (Economics and Sociology)
Bachelor of Arts in Economics and Sociology
Bachelor of Arts (Economics)
Bachelor of Arts in Economics
Bachelor of Arts (Economics, With IT)
Bachelor of Arts (History & Economics)
Bachelor of Arts (History and Economics)
Bachelor of Science (Financial Engineering)
Bachelor of Science in Mathematics and Finance and Statistics)
Bachelor of Science (Mathematics & Economics, With IT
Bachelor of Science in Financial Economics
Bachelor of Science in Mathematics and Finance
Bachelor of Science (Operations Research)",
,,MAT ALTERNATIVE A - C+,,,
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,"Bachelor of Science in Applied Statistics Bachelor of Science (Mathematics)
Bachelor of Technology (Applied Statistics) Bachelor of Science in Mathematics
Bachelor of Science (Statistics) Bachelor of Arts (History and Economics)",,,
,,,,Bachelor of Arts (History and Economics),
11,,"Subject 1
CHE","Subject 2
MAT ALTERNATIVE A/B or PHY","Subject 3
BIO/HSC","Subject 4
ENG/KIS or any GROUP III or a GROUP IV or any
GROUP V"
,11A,CHE – C (PLAIN),,,
,,"Bachelor of Arts (Interior Design, With IT) Bachelor of Arts (Textiles, Apparel Design and Fashion Merchandising, With IT)
Bachelor of Science (Apparel & Fashion Technology) Bachelor of Science (Clothing Textile & Interior Design)
Bachelor of Science (Fashion Design & Marketing) Bachelor of Science (Fashion Design and Textile Technology)
Bachelor of Science in Fashion Design and Marketing",,,
12,,"Subject 1
BIO/GSC","Subject 2
MAT ALTERNATIVE A/B","Subject 3
Any GROUP II or any GROUP III","Subject 4
ENG/KIS or a GROUP II or a GROUP III or any
GROUP IV or any GROUP V"
,12A,BIO/GSC – C (PLAIN),,,
,,"Bachelor of Science (Health Promotion and Sports Science)
Bachelor of Science (Exercise & Sport Science)
Bachelor of Science (Recreation and Sports Management)
Bachelor of Sports Science & Management
Bachelor of Sports Management",,,
13,,"Subject 1
BIO","Subject 2
CHE","Subject 3
MAT ALTERNATIVE A/PHY","Subject 4
ENG/KIS or 3rd GROUP II or any GROUP III or any
GROUP IV or any GROUP V"
,13A,BIO – B (PLAIN),CHE – B (PLAIN),MAT ALTERNATIVE A/PHY – B (PLAIN),ENG/KIS – B (PLAIN)
